primary_title,runtime_minutes,genres,production_budget,worldwide_gross,year,ROI
Rango,107,Comedy,135000000,245724600,2011,82
Star Trek Beyond,122,Action,185000000,335802233,2016,82
Star Trek Beyond,122,Adventure,185000000,335802233,2016,82
Star Trek Beyond,122,Sci-Fi,185000000,335802233,2016,82
Just Wright,100,Comedy,12000000,21867665,2010,82
Just Wright,100,Romance,12000000,21867665,2010,82
Just Wright,100,Sport,12000000,21867665,2010,82
Teenage Mutant Ninja Turtles: Out of the Shadows,112,Action,135000000,245328374,2016,82
Teenage Mutant Ninja Turtles: Out of the Shadows,112,Adventure,135000000,245328374,2016,82
Teenage Mutant Ninja Turtles: Out of the Shadows,112,Comedy,135000000,245328374,2016,82
The Darkest Hour,89,Action,34800000,62831715,2011,81
The Darkest Hour,89,Adventure,34800000,62831715,2011,81
The Darkest Hour,89,Horror,34800000,62831715,2011,81
Colombiana,108,Action,40000000,72295262,2011,81
Colombiana,108,Drama,40000000,72295262,2011,81
Colombiana,108,Thriller,40000000,72295262,2011,81
For Colored Girls,133,Drama,21000000,38017873,2010,81
A Very Harold & Kumar 3D Christmas,90,Adventure,20000000,36265745,2011,81
A Very Harold & Kumar 3D Christmas,90,Comedy,20000000,36265745,2011,81
The Magnificent Seven,132,Action,90000000,162525156,2016,81
The Magnificent Seven,132,Adventure,90000000,162525156,2016,81
The Magnificent Seven,132,Western,90000000,162525156,2016,81
The Predator,107,Action,88000000,159487563,2018,81
The Predator,107,Adventure,88000000,159487563,2018,81
The Predator,107,Sci-Fi,88000000,159487563,2018,81
The Three Stooges,92,Comedy,30000000,54052249,2012,80
The Three Stooges,92,Family,30000000,54052249,2012,80
ParaNorman,92,Adventure,60000000,108119662,2012,80
ParaNorman,92,Animation,60000000,108119662,2012,80
ParaNorman,92,Comedy,60000000,108119662,2012,80
Marmaduke,87,Comedy,50000000,89895930,2010,80
Marmaduke,87,Family,50000000,89895930,2010,80
Mr. Turner,150,Biography,14000000,25187026,2014,80
Mr. Turner,150,Drama,14000000,25187026,2014,80
Mr. Turner,150,History,14000000,25187026,2014,80
The Mechanic,93,Action,42500000,76347393,2011,80
The Mechanic,93,Crime,42500000,76347393,2011,80
The Mechanic,93,Thriller,42500000,76347393,2011,80
The Good Dinosaur,93,Adventure,187500000,333771037,2015,78
The Good Dinosaur,93,Animation,187500000,333771037,2015,78
The Good Dinosaur,93,Comedy,187500000,333771037,2015,78
Tower Heist,104,Action,85000000,150422946,2011,77
Tower Heist,104,Comedy,85000000,150422946,2011,77
Tower Heist,104,Crime,85000000,150422946,2011,77
The Tree of Life,139,Drama,35000000,61721826,2011,76
The Tree of Life,139,Fantasy,35000000,61721826,2011,76
Arthur Christmas,97,Adventure,85000000,149717124,2011,76
Arthur Christmas,97,Animation,85000000,149717124,2011,76
Arthur Christmas,97,Comedy,85000000,149717124,2011,76
The Walk,123,Adventure,35000000,61492104,2015,76
The Walk,123,Biography,35000000,61492104,2015,76
The Walk,123,Drama,35000000,61492104,2015,76
The Walk,89,Crime,35000000,61492104,2015,76
The Walk,89,Thriller,35000000,61492104,2015,76
Godzilla: King of the Monsters,132,Action,170000000,299276941,2019,76
Godzilla: King of the Monsters,132,Adventure,170000000,299276941,2019,76
Godzilla: King of the Monsters,132,Fantasy,170000000,299276941,2019,76
First Man,141,Biography,60000000,105203825,2018,75
First Man,141,Drama,60000000,105203825,2018,75
First Man,141,History,60000000,105203825,2018,75
Grudge Match,113,Comedy,40000000,69807260,2013,75
Grudge Match,113,Drama,40000000,69807260,2013,75
Grudge Match,113,Sport,40000000,69807260,2013,75
The Lego Ninjago Movie,101,Action,70000000,122737201,2017,75
The Lego Ninjago Movie,101,Adventure,70000000,122737201,2017,75
The Lego Ninjago Movie,101,Animation,70000000,122737201,2017,75
Life,104,Horror,58000000,100929666,2017,74
Life,104,Sci-Fi,58000000,100929666,2017,74
Life,104,Thriller,58000000,100929666,2017,74
Endless Love,104,Drama,20000000,34718173,2014,74
Endless Love,104,Romance,20000000,34718173,2014,74
Unstoppable,98,Action,95000000,165720921,2010,74
Unstoppable,98,Thriller,95000000,165720921,2010,74
Gangster Squad,113,Action,60000000,104100903,2013,74
Gangster Squad,113,Crime,60000000,104100903,2013,74
Gangster Squad,113,Drama,60000000,104100903,2013,74
Here Comes the Boom,105,Action,42000000,73239258,2012,74
Here Comes the Boom,105,Comedy,42000000,73239258,2012,74
Here Comes the Boom,105,Sport,42000000,73239258,2012,74
Secretariat,123,Biography,35000000,60376247,2010,73
Secretariat,123,Drama,35000000,60376247,2010,73
