primary_title,runtime_minutes,genres,production_budget,worldwide_gross,year,ROI
Logan,137,"Action,Drama,Sci-Fi",127000000,615461394,2017,385
Parental Guidance,105,"Comedy,Family",25000000,120832383,2012,383
21 Jump Street,109,"Action,Comedy,Crime",42000000,202812429,2012,383
The Angry Birds Movie,97,"Action,Animation,Comedy",73000000,352327887,2016,383
Tammy,97,"Comedy,Romance",20000000,96407655,2014,382
Ant-Man and the Wasp,118,"Action,Adventure,Comedy",130000000,623144660,2018,379
The Big Short,130,"Biography,Comedy,Drama",28000000,133162752,2015,376
Race,134,"Biography,Drama,Sport",5000000,23745772,2016,375
American Reunion,113,Comedy,50000000,236799211,2012,374
In Time,109,"Action,Crime,Drama",35000000,165103952,2011,372
Thor: Ragnarok,130,"Action,Adventure,Comedy",180000000,846980024,2017,371
Creed,133,"Drama,Sport",37000000,173567581,2015,369
Forever My Girl,108,"Drama,Music,Romance",3500000,16376066,2018,368
A Walk in the Woods,104,"Adventure,Biography,Comedy",8000000,37119358,2015,364
The Last Song,107,"Drama,Music,Romance",20000000,92678948,2010,363
Spotlight,129,"Crime,Drama",20000000,92088460,2015,360
Spotlight,99,Drama,20000000,92088460,2015,360
The Greatest Showman,105,"Biography,Drama,Musical",84000000,386665550,2017,360
Shrek Forever After,93,"Adventure,Animation,Comedy",165000000,756244673,2010,358
Now You See Me,115,"Crime,Mystery,Thriller",75000000,342769200,2013,357
Coco,98,Horror,175000000,798008101,2017,356
Coco,105,"Adventure,Animation,Comedy",175000000,798008101,2017,356
A Bad Moms Christmas,104,"Adventure,Comedy",28000000,127710550,2017,356
Bumblebee,114,"Action,Adventure,Sci-Fi",102000000,465195589,2018,356
Captain America: Civil War,147,"Action,Adventure,Sci-Fi",250000000,1140069413,2016,356
Guardians of the Galaxy,121,"Action,Adventure,Comedy",170000000,770867516,2014,353
Django Unchained,165,"Drama,Western",100000000,449948323,2012,350
The Intruder,102,"Drama,Horror,Mystery",8000000,36005871,2019,350
Blockers,102,Comedy,21000000,94045328,2018,348
Fantastic Beasts and Where to Find Them,132,"Adventure,Family,Fantasy",180000000,802402853,2016,346
Non-Stop,106,"Action,Mystery,Thriller",50000000,222383055,2014,345
Hotel Transylvania,91,"Animation,Comedy,Family",85000000,378505812,2012,345
Hope Springs,100,"Comedy,Drama,Romance",30000000,133085295,2012,344
Kung Fu Panda 2,90,"Action,Adventure,Animation",150000000,664837547,2011,343
Fifty Shades of Black,92,Comedy,5000000,22113075,2016,342
Source Code,93,"Action,Drama,Sci-Fi",32000000,140428499,2011,339
Alvin and the Chipmunks: Chipwrecked,87,"Adventure,Animation,Comedy",80000000,349088523,2011,336
Central Intelligence,107,"Action,Comedy,Crime",50000000,217194805,2016,334
The Emoji Movie,86,"Adventure,Animation,Comedy",50000000,216562312,2017,333
Dear White People,108,"Comedy,Drama,Romance",1250000,5403771,2014,332
Arrival,116,"Drama,Mystery,Sci-Fi",47000000,203127894,2016,332
Thor: The Dark World,112,"Action,Adventure,Fantasy",150000000,644602516,2013,330
Moonrise Kingdom,94,"Adventure,Comedy,Drama",16000000,68848446,2012,330
Hansel & Gretel: Witch Hunters,88,"Action,Fantasy,Horror",50000000,214949716,2013,330
Sherlock Holmes: A Game of Shadows,129,"Action,Adventure,Crime",125000000,535663443,2011,329
The Hundred-Foot Journey,122,"Comedy,Drama",22000000,94270488,2014,329
The Best Man Holiday,123,"Comedy,Drama",17000000,72835710,2013,328
Puss in Boots,90,"Action,Adventure,Animation",130000000,554987477,2011,327
Shazam!,132,"Action,Adventure,Comedy",85000000,362899733,2019,327
Creed II,130,"Drama,Sport",50000000,213591522,2018,327
Suicide Squad,123,"Action,Adventure,Fantasy",175000000,746059887,2016,326
Moana,107,"Adventure,Animation,Comedy",150000000,637517365,2016,325
How to Train Your Dragon 2,102,"Action,Adventure,Animation",145000000,614586270,2014,324
Avengers: Age of Ultron,141,"Action,Adventure,Sci-Fi",330600000,1403013963,2015,324
The Impossible,114,"Drama,History,Thriller",40000000,169590606,2012,324
The Croods,98,"Action,Adventure,Animation",135000000,573068425,2013,324
St. Vincent,102,"Comedy,Drama",13000000,54837234,2014,322
Hacksaw Ridge,139,"Biography,Drama,History",40000000,168904682,2016,322
Lincoln,150,"Biography,Drama,History",65000000,273346281,2012,321
The Bye Bye Man,96,"Drama,Fantasy,Horror",7400000,31187727,2017,321
Maleficent,97,"Action,Adventure,Family",180000000,758536735,2014,321
